physical_cores,logical_cores,max_cpu_frequency,min_cpu_frequency,total_ram,total_available_ram,total_swap,free_swap,start_time,stop_time,time_spend,task_count,task_type,current_cpu_frequency
12,12,2095.00Mhz,0.00Mhz,100.00GB,17.36GB,114.50GB,26.65GB,1.76796723666E-05,0.000180713611217,0.00016303393885,532,0,2095.00Mhz
12,12,2095.00Mhz,0.00Mhz,100.00GB,17.36GB,114.50GB,26.65GB,0.000186533390283,0.000227192777933,4.065938765E-05,532,1,2095.00Mhz
12,12,2095.00Mhz,0.00Mhz,100.00GB,17.36GB,114.50GB,26.65GB,0.000229196680883,0.000283133770667,5.39370897833E-05,532,2,2095.00Mhz
12,12,2095.00Mhz,0.00Mhz,100.00GB,17.36GB,114.50GB,26.65GB,1.987466605E-05,5.226349405E-05,3.2388828E-05,532,3,2095.00Mhz
12,12,2095.00Mhz,0.00Mhz,100.00GB,17.36GB,114.50GB,26.65GB,5.40835399833E-05,8.17698481666E-05,2.76863081833E-05,532,4,2095.00Mhz
12,12,2095.00Mhz,0.00Mhz,100.00GB,17.36GB,114.50GB,26.65GB,8.354344515E-05,0.0001116237303,2.80802851499E-05,532,5,2095.00Mhz
12,12,2095.00Mhz,0.00Mhz,100.00GB,17.35GB,114.50GB,26.63GB,1.77131934833E-05,2.85124428E-05,1.07992493166E-05,1,6,2095.00Mhz
12,12,2095.00Mhz,0.00Mhz,100.00GB,17.35GB,114.50GB,26.64GB,1.830323845E-05,3.97998540833E-05,2.14966156333E-05,1,7,2095.00Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.48GB,31.50GB,31.50GB,1620558028.97322,1620558262.68151,233.708295822144,424,4,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.47GB,31.50GB,31.50GB,1620558262.7291,1620558466.52361,203.794506311417,424,3,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.48GB,31.50GB,31.50GB,1620558466.71652,1620558606.92365,140.207123756409,424,5,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.48GB,31.50GB,31.50GB,1620558913.2308,1620559025.39475,112.163954496384,424,8,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.48GB,31.50GB,31.50GB,1620559541.78875,1620559940.45204,398.663285493851,673,4,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.47GB,31.50GB,31.50GB,1620559940.51631,1620560412.31393,471.797619104385,673,3,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.48GB,31.50GB,31.50GB,1620560412.42176,1620560853.2878,440.86604809761,673,5,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.48GB,31.50GB,31.50GB,1620561357.05409,1620561519.11315,162.059056282043,673,8,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.48GB,31.50GB,31.50GB,1620561872.20132,1620562073.51288,201.311561346054,423,4,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.47GB,31.50GB,31.50GB,1620562073.58458,1620562303.89347,230.308893203735,423,3,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.48GB,31.50GB,31.50GB,1620562303.98728,1620562521.29225,217.304971694946,423,5,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.47GB,31.50GB,31.50GB,1620562833.1881,1620562933.88978,100.701678991318,423,8,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.48GB,31.50GB,31.50GB,1620563162.10814,1620563280.38305,118.274908065796,236,4,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.47GB,31.50GB,31.50GB,1620563280.43017,1620563391.59936,111.169185638428,236,3,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.47GB,31.50GB,31.50GB,1620563391.69563,1620563472.90569,81.2100579738617,236,5,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.48GB,31.50GB,31.50GB,1620563643.62406,1620563733.75881,90.1347544193268,236,8,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.48GB,31.50GB,31.50GB,1620563871.47731,1620563950.29627,78.8189582824707,152,4,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.47GB,31.50GB,31.50GB,1620563950.34551,1620564023.17466,72.8291482925415,152,3,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.47GB,31.50GB,31.50GB,1620564023.27834,1620564074.38849,51.1101512908936,152,5,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.48GB,31.50GB,31.50GB,1620564184.39857,1620564220.37281,35.974240064621,152,8,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.47GB,31.50GB,31.50GB,1620564259.20834,1620564269.2059,9.99755620956421,36,4,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.47GB,31.50GB,31.50GB,1620564269.25544,1620564286.97192,17.7164857387543,36,3,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.47GB,31.50GB,31.50GB,1620564287.08486,1620564301.76501,14.680150270462,36,5,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.47GB,31.50GB,31.50GB,1620564329.09718,1620564337.63416,8.53697538375855,36,8,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.47GB,31.50GB,31.50GB,1620564556.98773,1620564714.69846,157.710735321045,281,4,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.47GB,31.50GB,31.50GB,1620564714.74495,1620564872.48697,157.742022275925,281,3,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.47GB,31.50GB,31.50GB,1620564872.73956,1620565045.82934,173.089783191681,281,5,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.47GB,31.50GB,31.50GB,1620565256.18482,1620565325.33944,69.1546180248261,281,8,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.47GB,31.50GB,31.50GB,1620565723.75067,1620566018.32027,294.569604635239,520,4,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.47GB,31.50GB,31.50GB,1620566018.36672,1620566395.72451,377.357790231705,520,3,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.47GB,31.50GB,31.50GB,1620566395.82767,1620566722.10032,326.272648334503,520,5,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.47GB,31.50GB,31.50GB,1620567109.51425,1620567231.83686,122.322610378265,520,8,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.47GB,31.50GB,31.50GB,1620567445.76471,1620567606.08097,160.316262245178,282,4,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.47GB,31.50GB,31.50GB,1620567606.1276,1620567801.12121,194.993611812592,282,3,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.47GB,31.50GB,31.50GB,1620567801.23111,1620567994.12234,192.891222476959,282,5,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.47GB,31.50GB,31.50GB,1620568208.33081,1620568275.8798,67.5489909648895,282,8,2095.08Mhz
6,12,4600.00Mhz,800.00Mhz,31.14GB,18.26GB,4.00GB,3.99GB,1620627224.18275,1620627430.88602,206.70326924324,30,7,1926.78Mhz
8,8,0.00Mhz,0.00Mhz,31.33GB,28.49GB,2.00GB,2.00GB,1620629532.09145,1620630166.36017,634.268721342087,2996,4,2593.92Mhz
8,8,0.00Mhz,0.00Mhz,31.33GB,28.47GB,2.00GB,2.00GB,1620630166.40587,1620632180.10195,2013.69607758522,2996,3,2593.92Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.47GB,31.50GB,31.50GB,1620632549.96366,1620632735.60945,185.645783662796,342,4,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.47GB,31.50GB,31.50GB,1620632735.6536,1620633111.44964,375.796043872833,684,4,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.48GB,31.50GB,31.50GB,1620633111.50935,1620633523.96257,412.453223228455,715,4,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,31.33GB,28.46GB,2.00GB,2.00GB,1620632180.39136,1620633611.0038,1430.61243796349,2996,5,2593.92Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.48GB,31.50GB,31.50GB,1620633524.03364,1620633617.3478,93.3141605854035,165,4,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.48GB,31.50GB,31.50GB,1620633617.40343,1620634192.0128,574.609366416931,1194,4,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.48GB,31.50GB,31.50GB,1620634192.0785,1620634471.98092,279.902420043945,548,4,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.48GB,31.50GB,31.50GB,1620634472.04097,1620635246.24667,774.205700874329,1222,4,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.48GB,31.50GB,31.50GB,1620635246.29687,1620635519.42856,273.131692409515,494,4,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.48GB,31.50GB,31.50GB,1620635519.49129,1620635841.78749,322.296205282211,511,4,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.48GB,31.50GB,31.50GB,1620635841.84355,1620636273.76592,431.922369480133,718,4,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,31.33GB,28.45GB,2.00GB,2.00GB,1620636013.12942,1620637135.70692,1122.57749271393,2996,8,2593.92Mhz
6,12,4600.00Mhz,800.00Mhz,31.14GB,19.06GB,4.00GB,3.99GB,1620638273.53296,1620638435.57933,162.046377658844,30,7,2979.32Mhz
8,8,0.00Mhz,0.00Mhz,31.33GB,28.44GB,2.00GB,2.00GB,1620638243.7144,1620638897.28721,653.572803258896,1057,4,2593.92Mhz
6,12,4600.00Mhz,800.00Mhz,31.14GB,19.09GB,4.00GB,3.99GB,1620638971.9466,1620638992.3946,20.4479994773865,36,4,1550.19Mhz
8,8,0.00Mhz,0.00Mhz,31.33GB,28.43GB,2.00GB,2.00GB,1620638897.3334,1620639569.01107,671.677673578262,1057,3,2593.92Mhz
8,8,0.00Mhz,0.00Mhz,31.33GB,28.32GB,2.00GB,2.00GB,1620639569.18309,1620640291.35673,722.173641204834,1057,5,2593.92Mhz
6,12,4600.00Mhz,800.00Mhz,31.14GB,19.04GB,4.00GB,3.99GB,1620640043.35686,1620640590.73024,547.373381376266,520,4,899.90Mhz
8,8,0.00Mhz,0.00Mhz,31.33GB,28.41GB,2.00GB,2.00GB,1620641072.7242,1620641330.39198,257.667779922485,1057,8,2593.92Mhz
8,8,0.00Mhz,0.00Mhz,31.33GB,28.54GB,2.00GB,2.00GB,1620641605.80484,1620641834.24642,228.441581010818,311,4,2593.92Mhz
8,8,0.00Mhz,0.00Mhz,31.33GB,28.54GB,2.00GB,2.00GB,1620641834.29582,1620642107.75092,273.455103158951,311,3,2593.92Mhz
8,8,0.00Mhz,0.00Mhz,31.33GB,28.49GB,2.00GB,2.00GB,1620642107.8896,1620642355.03789,247.148289442062,311,5,2593.92Mhz
6,12,4600.00Mhz,800.00Mhz,31.14GB,18.95GB,4.00GB,3.99GB,1620640591.12824,1620642361.55574,1770.42749881744,520,3,900.18Mhz
8,8,0.00Mhz,0.00Mhz,31.33GB,28.53GB,2.00GB,2.00GB,1620642378.91257,1620642540.91027,161.997701406479,311,8,2593.92Mhz
6,12,4600.00Mhz,800.00Mhz,31.14GB,18.86GB,4.00GB,3.99GB,1620642362.4225,1620643186.38137,823.958867549896,520,5,1689.49Mhz
6,12,4600.00Mhz,800.00Mhz,31.14GB,18.96GB,4.00GB,3.99GB,1620643654.00446,1620644003.5884,349.583934545517,520,8,900.12Mhz
8,8,0.00Mhz,0.00Mhz,31.33GB,28.70GB,2.00GB,2.00GB,1620645913.89335,1620646116.74411,202.850763320923,150,4,2593.92Mhz
8,8,0.00Mhz,0.00Mhz,31.33GB,28.69GB,2.00GB,2.00GB,1620646116.80005,1620646324.61547,207.815424919128,150,3,2593.92Mhz
8,8,0.00Mhz,0.00Mhz,31.33GB,28.64GB,2.00GB,2.00GB,1620646324.716,1620646538.91707,214.201068162918,150,5,2593.92Mhz
8,8,0.00Mhz,0.00Mhz,31.33GB,28.68GB,2.00GB,2.00GB,1620646540.74516,1620646686.97052,146.22535943985,150,8,2593.92Mhz
8,8,0.00Mhz,0.00Mhz,31.33GB,28.67GB,2.00GB,2.00GB,1620647901.2965,1620648665.12082,763.824315786362,1382,4,2593.92Mhz
8,8,0.00Mhz,0.00Mhz,31.33GB,28.66GB,2.00GB,2.00GB,1620648665.21624,1620649452.38803,787.171791553497,1382,3,2593.92Mhz
8,8,0.00Mhz,0.00Mhz,31.33GB,28.65GB,2.00GB,2.00GB,1620649452.52149,1620649931.65269,479.131202459335,1382,5,2593.92Mhz
6,12,4600.00Mhz,800.00Mhz,31.14GB,23.00GB,66.50GB,66.50GB,1620650920.80796,1620650970.43983,49.6318724155426,36,9,900.09Mhz
6,12,4600.00Mhz,800.00Mhz,31.14GB,22.95GB,66.50GB,66.50GB,1620651077.31369,1620651113.41759,36.1038947105408,36,9,1080.49Mhz
8,8,0.00Mhz,0.00Mhz,31.33GB,28.62GB,2.00GB,2.00GB,1620650967.72901,1620651358.26213,390.533124446869,1382,8,2593.92Mhz
6,12,4600.00Mhz,800.00Mhz,31.14GB,22.66GB,66.50GB,66.50GB,1620653257.47315,1620653300.7826,43.3094530105591,36,9,900.05Mhz
6,12,4600.00Mhz,800.00Mhz,31.14GB,22.40GB,66.50GB,66.50GB,1620654613.16961,1620654656.8605,43.6908936500549,36,9,900.06Mhz
6,12,4600.00Mhz,800.00Mhz,31.14GB,22.37GB,66.50GB,66.50GB,1620654827.3484,1620654859.66804,32.3196415901184,36,9,4301.00Mhz
8,8,0.00Mhz,0.00Mhz,31.33GB,28.62GB,2.00GB,2.00GB,1620653454.36707,1620654897.48801,1443.12094068527,2425,4,2593.92Mhz
8,8,0.00Mhz,0.00Mhz,31.33GB,28.58GB,2.00GB,2.00GB,1620654897.53404,1620656220.28212,1322.74807429314,2425,3,2593.92Mhz
8,8,0.00Mhz,0.00Mhz,31.33GB,28.58GB,2.00GB,2.00GB,1620656220.9541,1620657054.34996,833.395855903625,2425,5,2593.92Mhz
8,8,0.00Mhz,0.00Mhz,31.33GB,28.61GB,2.00GB,2.00GB,1620658791.69815,1620659429.53862,637.84047293663,2425,8,2593.92Mhz
8,8,0.00Mhz,0.00Mhz,31.33GB,28.60GB,2.00GB,2.00GB,1620659733.6393,1620659925.85883,192.219533205032,369,4,2593.92Mhz
8,8,0.00Mhz,0.00Mhz,31.33GB,28.60GB,2.00GB,2.00GB,1620659925.9193,1620660184.12954,258.210241317749,369,3,2593.92Mhz
8,8,0.00Mhz,0.00Mhz,31.33GB,28.50GB,2.00GB,2.00GB,1620660184.2731,1620660408.63936,224.366264343262,369,5,2593.92Mhz
8,8,0.00Mhz,0.00Mhz,31.33GB,28.59GB,2.00GB,2.00GB,1620660680.74169,1620660774.41145,93.6697633266449,369,8,2593.92Mhz
8,8,0.00Mhz,0.00Mhz,31.33GB,28.64GB,2.00GB,2.00GB,1620661535.70284,1620662031.85785,496.15501332283,935,4,2593.92Mhz
8,8,0.00Mhz,0.00Mhz,31.33GB,28.64GB,2.00GB,2.00GB,1620662031.91147,1620662668.80735,636.895880699158,935,3,2593.92Mhz
8,8,0.00Mhz,0.00Mhz,31.33GB,28.54GB,2.00GB,2.00GB,1620662668.93397,1620663240.10188,571.1679084301,935,5,2593.92Mhz
8,8,0.00Mhz,0.00Mhz,31.33GB,28.61GB,2.00GB,2.00GB,1620663943.87538,1620664191.91012,248.034736871719,935,8,2593.92Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.48GB,31.50GB,31.50GB,1620671498.17009,1620672026.53774,528.367651939392,879,4,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.48GB,31.50GB,31.50GB,1620672026.59776,1620672328.01511,301.417345285416,511,4,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.48GB,31.50GB,31.50GB,1620672328.06714,1620674755.28083,2427.21368098259,3896,4,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.48GB,31.50GB,31.50GB,1620674755.34278,1620675016.95764,261.614862203598,408,4,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.48GB,31.50GB,31.50GB,1620675017.01587,1620675227.65191,210.636042118072,435,4,2095.08Mhz
4,4,0.00Mhz,0.00Mhz,31.33GB,28.99GB,2.00GB,2.00GB,1620678063.61038,1620678601.03739,537.427004575729,896,4,2593.92Mhz
4,4,0.00Mhz,0.00Mhz,31.33GB,28.99GB,2.00GB,2.00GB,1620678601.08717,1620678958.41141,357.324236869812,745,4,2593.92Mhz
4,4,0.00Mhz,0.00Mhz,31.33GB,29.01GB,2.00GB,2.00GB,1620678958.4597,1620680209.15314,1250.69343590736,2133,4,2593.92Mhz
4,4,0.00Mhz,0.00Mhz,31.33GB,29.00GB,2.00GB,2.00GB,1620680209.20131,1620680376.93619,167.734882116318,308,4,2593.92Mhz
4,4,0.00Mhz,0.00Mhz,31.33GB,28.95GB,2.00GB,2.00GB,1620680376.98576,1620685282.44076,4905.4550011158,8841,4,2593.92Mhz
4,4,0.00Mhz,0.00Mhz,31.33GB,28.97GB,2.00GB,2.00GB,1620710221.01366,1620710302.24592,81.2322623729706,152,4,2593.92Mhz
4,4,0.00Mhz,0.00Mhz,31.33GB,28.96GB,2.00GB,2.00GB,1620710302.28512,1620710849.40865,547.123524904251,816,4,2593.92Mhz
12,12,2095.00Mhz,0.00Mhz,100.00GB,14.38GB,114.50GB,26.57GB,1620746912.59723,1620747273.01602,360.418791294098,356,10,2095.00Mhz
6,12,4600.00Mhz,800.00Mhz,31.14GB,19.38GB,4.00GB,3.99GB,1620711902.78019,1620712090.74146,187.961264610291,30,7,900.08Mhz
12,12,2095.00Mhz,0.00Mhz,100.00GB,14.06GB,114.50GB,26.41GB,1620748094.37392,1620748423.43608,329.062160253525,356,11,2095.00Mhz
12,12,2095.00Mhz,0.00Mhz,100.00GB,13.33GB,114.50GB,26.44GB,1620749993.49212,1620750114.4995,121.007376432419,140,11,2095.00Mhz
6,12,4600.00Mhz,800.00Mhz,31.14GB,19.31GB,4.00GB,3.99GB,1620713922.19499,1620714843.6827,921.48771572113,520,4,1462.83Mhz
6,12,4600.00Mhz,800.00Mhz,31.14GB,18.94GB,4.00GB,3.99GB,1620714844.52104,1620717684.1246,2839.60355854034,520,3,899.79Mhz
6,12,4600.00Mhz,800.00Mhz,31.14GB,18.91GB,4.00GB,3.99GB,1620717684.70605,1620718496.47494,811.768895626068,520,5,900.16Mhz
6,12,4600.00Mhz,800.00Mhz,31.14GB,18.88GB,4.00GB,3.99GB,1620719003.09185,1620719412.49067,409.398816347122,520,8,4299.76Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.48GB,31.50GB,31.50GB,1620726284.49174,1620726505.08663,220.594887971878,272,4,2095.08Mhz
4,4,0.00Mhz,0.00Mhz,31.33GB,28.95GB,2.00GB,2.00GB,1620726276.01814,1620726656.34656,380.328413009644,592,4,2593.92Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.47GB,31.50GB,31.50GB,1620726505.5826,1620726789.92177,284.339170455933,272,3,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.48GB,31.50GB,31.50GB,1620726790.2255,1620726984.44431,194.218810558319,272,5,2095.08Mhz
4,4,0.00Mhz,0.00Mhz,31.33GB,28.92GB,2.00GB,2.00GB,1620726656.38894,1620727118.50832,462.119374513626,592,3,2593.92Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.48GB,31.50GB,31.50GB,1620727191.8885,1620727280.88976,89.0012636184692,272,8,2095.08Mhz
8,8,0.00Mhz,0.00Mhz,62.76GB,61.48GB,31.50GB,31.50GB,1620727446.87077,1620727576.55231,129.68154501915,173,4,2095.08Mhz
4,4,0.00Mhz,0.00Mhz,31.33GB,28.92GB,2.00GB,2.00GB,1620727118.68815,1620727579.96399,461.275839567185,592,5,2593.92Mhz
